OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio
24534,NonResidential,Warehouse,Kenyon Business Park Building A,GREATER DUWAMISH,1973,1.0,1,36000,0,36000,Non-Refrigerated Warehouse,36000.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,44.0,77.0,109.5,2771820.5,0.0,494348.0,2277473.0,Compliant,124.4,3.46,0.0,0.17834776819061696,0.8216524121962443,36000.0,36000.0,0.0,1.0
24536,NonResidential,Warehouse,Cloverdale Business Park Building A,GREATER DUWAMISH,1979,1.0,1,31360,0,31360,Non-Refrigerated Warehouse,29640.0,Retail Store,1460.0,Inconnu,14923.139939614732,65.44972577696527,43.59999847,87.90000153,1356972.25,0.0,626210.0,730762.0,Compliant,43.18,1.38,0.0,0.4614759071160077,0.5385239086503059,31360.0,31360.0,0.0,1.0
24537,NonResidential,Warehouse,Cloverdale Business Park Building B,GREATER DUWAMISH,1979,1.0,1,33320,0,33320,Non-Refrigerated Warehouse,32200.0,Office,1200.0,Inconnu,14923.139939614732,65.44972577696527,70.0,154.1999969,2339234.0,0.0,1289233.0,1050001.0,Compliant,64.75,1.94,0.0,0.5511346876798131,0.44886531232018684,33320.0,33320.0,0.0,1.0
24538,NonResidential,Warehouse,Cloverdale Business Park Building C,GREATER DUWAMISH,1979,1.0,1,48020,0,48020,Non-Refrigerated Warehouse,47800.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,71.0,49.70000076,115.5999985,2373568.25,0.0,1450508.0,923060.0,Compliant,59.14,1.23,0.0,0.6111086125288371,0.38889128214450963,48020.0,48020.0,0.0,1.0
24539,NonResidential,Warehouse,Cloverdale Business Park Building E,GREATER DUWAMISH,1979,1.0,1,27420,0,27420,Non-Refrigerated Warehouse,27850.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,55.0,42.20000076,82.5,1176342.25,0.0,507743.0,668599.0,Compliant,39.05,1.42,0.0,0.43162863528875206,0.5683711521880643,27420.0,27420.0,0.0,1.0
24547,NonResidential,K-12 School,Islamic School of Seattle,CENTRAL,1929,1.0,2,24152,0,24152,K-12 School,24152.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,100.0,6.699999809,21.0,161363.4063,0.0,161363.0,0.0,Non-Compliant,1.12,0.05,0.0,0.9999974820809171,0.0,24152.0,12076.0,0.0,1.0
24560,NonResidential,K-12 School,Our Lady of the Lake School,NORTHEAST,1949,1.0,2,43645,0,43645,K-12 School,37000.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,71.0,55.5,87.59999847,2053956.375,0.0,518880.0,1535077.0,Compliant,85.15,1.95,0.0,0.25262464496111803,0.7473756593296681,43645.0,21822.5,0.0,1.0
24563,NonResidential,Retail Store,Store #5216_8500 35Th Avenue Ne,NORTHEAST,1952,1.0,1,26853,0,26853,Retail Store,20360.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,68.0,68.69999695,189.6999969,1399062.75,0.0,1145340.0,253723.0,Compliant,21.46,0.8,0.0,0.8186480556358177,0.18135212305523823,26853.0,26853.0,0.0,1.0
24710,NonResidential,Other,1020 building,GREATER DUWAMISH,1909,1.0,4,44775,0,44775,Other,44775.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,21.20000076,43.09999847,950695.625,0.0,446650.0,504046.0,Compliant,29.88,0.67,0.0,0.46981387970518956,0.5301865147428232,44775.0,11193.75,0.0,1.0
24579,NonResidential,Other,SODO Park Bldg,GREATER DUWAMISH,1916,2.0,1,27760,0,27760,Other,19715.0,Office,12000.0,Retail Store,6000.0,65.44972577696527,75.09999847,124.0999985,2833624.5,0.0,816471.0,2017153.0,Compliant,112.82,4.06,0.0,0.28813662501859366,0.7118631985289512,13880.0,27760.0,0.0,1.0
